*X-Coordinate,*Y-Coordinate,*Z-Coordinate,DESCR,*Vertex Number,LEVEL
19849.74507,30785.7074,6439.094608,Truck_Side_Loading_Location,2,4560
19293.90762,31038.13616,7126.462517,Maintenance_Shop,1,4430
19113.10315,31029.61085,7126.462517,Maintenance_Shop,2,4430
20159.1557,30058.10654,7257.759886,Powder_Mag,1,4300
20082.34069,30044.56198,7257.759886,Powder_Mag,2,4300
20150.42103,30108.98455,7256.211216,Fuse_Mag,1,4300
20115.95276,30102.90686,7256.211216,Fuse_Mag,2,4300
19762.44467,30335.04809,7682.010044,Personnel_Carrier_Parking_Charging_Station,1,3315
19724.71188,30290.17759,7682.010044,Personnel_Carrier_Parking_Charging_Station,2,3315
23430.4609,26357.62879,7071.186164,Truck_dumping_location,1,3935
23430.36224,26384.51618,7069.121094,Truck_dumping_location,2,3935
23161.79287,26470.45914,7042.685395,Shaft_Access,1,3935
23199.64153,26374.39068,7040.565988,Shaft_Access,2,3935
23234.95975,26363.00757,7040.73181,Shaft_Access,3,3935
23304.15971,26352.98279,7040.687833,Shaft_Access,4,3935
23311.44864,26335.74369,7038.906727,Shaft_Access,5,3935
23337.97203,26312.75681,7035.733164,Shaft_Access,6,3935
23405.23897,26265.73119,7032.214307,Shaft_Access,7,3935
23491.39669,26198.77108,7024.554541,Shaft_Access,8,3935
23498.61446,26197.50494,7024.810554,Shaft_Access,9,3935
23513.9651,26241.41611,7024.930285,Shaft_Access,10,3935
23602.80287,26291.60371,7024.898819,Shaft_Access,11,3935
23931.29398,26260.49135,7024.314691,Shaft_Access,12,3935
23947.03559,26255.17549,7024.351832,Shaft_Access,13,3935
24012.91523,26179.71054,7023.878767,Shaft_Access,14,3935
24037.87994,26158.33862,7023.653151,Shaft_Access,15,3935
24072.54596,26145.55992,7023.400332,Shaft_Access,16,3935
24107.4166,26146.00452,7022.907981,Shaft_Access,17,3935
24129.72281,26151.82061,7022.560858,Shaft_Access,18,3935
24208.26634,26190.63274,7022.302753,Shaft_Access,19,3935
23453.05871,26517.98589,7065.939941,6400_Rock_Storage,1,3935
23623.95258,26568.61375,7069.219238,6400_Rock_Storage,2,3935
23416.32046,26539.49009,7064.361641,6402_Ore_Storage,1,3935
23462.66254,26608.52368,7070.216318,6402_Ore_Storage,2,3935
23487.73861,26656.81707,7070.065304,6402_Ore_Storage,3,3935
23449.7224,26477.22946,7067.883259,Rock_Storage,1,3935
23409.99958,26463.31156,7069.230143,Rock_Storage,2,3935
23394.10494,26451.65825,7069.273254,Rock_Storage,3,3935
23375.77016,26420.04714,7069.373854,Rock_Storage,4,3935
23371.37317,26369.68575,7071.166016,Rock_Storage,5,3935
24208.26749,26190.63562,6999.015345,Shaft_Bin,1,3935
24170.74205,26268.22129,7142.244284,Shaft_Bin,2,3935
23430.4609,26357.62879,7071.186164,4000L_Jaw_Crusher,1,3935
23449.86251,26335.23891,7045,4000L_Jaw_Crusher,2,3935
23460.06782,26326.75341,6962,4000L_Jaw_Crusher,3,3935
23460.06782,26326.75341,6962,4000L_Conveyor,1,3935
23525.01838,26325.05214,6962,4000L_Conveyor,2,3935
23613.64625,26317.42688,6992.634863,4000L_Conveyor,3,3935
24170.74205,26268.22129,7142.244284,4000L_Conveyor,4,3935
21482.34242,28220.15997,6666.575903,Main_Ramp_to_4430L_1,1,4300
21443.78751,28198.77448,6666.640755,Main_Ramp_to_4430L_1,2,4300
21368.13707,28174.84219,6668.697168,Main_Ramp_to_4430L_1,3,4300
21315.14273,28161.18776,6669.247192,Main_Ramp_to_4430L_1,4,4300
21294.08969,28155.76326,6669.4657,Main_Ramp_to_4430L_1,5,4300
23476.11693,26224.86561,7561.904012,Truck_dumping_location_Rock,1,3400
23449.01911,26276.73883,7563.100098,Truck_dumping_location_Rock,2,3400
24208.27615,26190.65724,6824,CCMN_Skip_Hoist,1,0
24208.26634,26190.63274,7022.302753,CCMN_Skip_Hoist,2,0
24208.2398,26190.56649,7558.602327,CCMN_Skip_Hoist,3,0
24208.07152,26190.1464,10959,CCMN_Skip_Hoist,4,0
23371.37317,26369.68575,7071.166016,2020_Waste_Pass,1,3935
23449.01911,26276.73883,7563.100098,2020_Waste_Pass,2,3935
23491.07213,26523.542,7571.797472,2639_Ore_Pass,1,3935
23487.73861,26656.81707,7070.065304,2639_Ore_Pass,2,3935
23586.87611,26530.52648,7567.908047,Truck_dumping_location_Ore,1,3400
23581.5293,26536.7793,7568.87207,Truck_dumping_location_Ore,2,3400
23542.49023,26535.7793,7570.022949,Truck_dumping_location_Ore,3,3400
23491.07213,26523.542,7571.797472,Truck_dumping_location_Ore,4,3400
23024.5651,26717.50084,7559.862716,Truck_Battery_Swap_Station,1,3400
22992.29152,26845.70158,7557.838764,Truck_Battery_Swap_Station,2,3400
23443.27332,26425.5083,7068.016517,Lateral_Rock_Storage,1,3935
23501.68245,26403.5735,7068.724961,Lateral_Rock_Storage,2,3935
23639.83572,26524.12183,7069.219,Lateral_Rock_Storage,3,3935
23405.23897,26265.73119,7032.214307,Storage_Charging_Station,1,3935
23315.77916,26242.50342,7031.399902,Storage_Charging_Station,2,3935
23337.97203,26312.75681,7035.733164,Personnel_Carrier_Parking_Charging_Station,1,3935
23280.14982,26282.8794,7035.186583,Personnel_Carrier_Parking_Charging_Station,2,3935
23754.38971,25977.37347,7559.787802,Storage_Charging_Station,1,3400
23704.23561,26008.89127,7560.067109,Storage_Charging_Station,2,3400
23544.86815,26001.6746,7560.069217,Personnel_Carrier_Parking_Charging_Station,1,3400
23487.58265,25979.40652,7562.073394,Personnel_Carrier_Parking_Charging_Station,2,3400
19616.94463,30357.0959,7129.378773,191OB_Internal_Ramp_Upper,1,3875
19600.77636,30363.71988,7129.965197,191OB_Internal_Ramp_Upper,2,3875
19562.07222,30379.5766,7131.368998,191OB_Internal_Ramp_Upper,3,3875
